income_val,income_label,prevalence,ci_lo,ci_hi,n
1,<$10k,14.022380744099195,12.650890618511642,15.393870869686745,10251
2,$10–15k,17.384688716180634,15.8266936752147,18.94268375714657,10940
3,$15–20k,14.8532833048993,13.560384196309794,16.14618241348881,14207
4,$20–25k,11.402085913740548,10.436066026883815,12.36810580059728,20226
5,$25–35k,9.532187986126377,8.928479830813897,10.13589614143886,42093
6,$35–50k,7.511886460600917,6.995219850838535,8.028553070363298,46641
7,$50–75k,5.763344890465653,5.357633093506531,6.169056687424775,58971
8,$75–100k,4.494459289648129,4.106720958110978,4.882197621185279,48319
9,$100–150k,3.392934289722756,3.062503962712024,3.7233646167334875,50241
10,$150–200k,2.7221835521978837,2.269594739344605,3.174772365051162,22517
11,>$200k,1.815915066427138,1.468116806903678,2.163713325950598,23447
