smoker,income,prevalence,n
1,1,25.368841712441753,1549
1,2,34.5022176712751,1829
1,3,28.585508429232636,1966
1,4,24.828041917399258,2387
1,5,20.154943986022037,4399
1,6,18.504785854198367,4330
1,7,16.517106806865552,4304
1,8,13.41415259721468,2577
1,9,11.63286977946147,2230
1,10,11.732490649673824,761
1,11,9.145145208276732,538
2,1,19.420223059563522,703
2,2,27.171750646650523,668
2,3,22.083530005838778,740
2,4,18.931585640114537,934
2,5,15.865089366046242,1667
2,6,11.73408797293966,1759
2,7,8.72483961116313,1710
2,8,5.28899084934589,1151
2,9,4.736184811560205,1071
2,10,3.5110046632949516,495
2,11,8.521107069095073,379
3,1,16.7913306441699,1812
3,2,23.559576443771476,2709
3,3,21.502077042055525,3342
3,4,18.904806441199952,5059
3,5,15.725904392978304,10724
3,6,12.316615804345483,13732
3,7,9.605226416918685,16896
3,8,7.007949870776878,13836
3,9,5.528033589898413,14057
3,10,4.482408280304042,6084
3,11,2.5132948937458175,5988
4,1,4.508930677902563,4820
4,2,5.925465985477237,4339
4,3,6.0988557348572945,6324
4,4,4.248327479511171,9100
4,5,3.898147331128533,20261
4,6,3.2542011387482037,26081
4,7,2.4749491689687324,33424
4,8,2.220083843310771,30259
4,9,1.6062756020589426,33591
4,10,1.406088479676473,16380
4,11,0.8910738671809945,19183
