n,n_copd,actual_prev,pred_prev,sensitivity,specificity,ppv,fpr,auc,model,income_val,income_label,model_type
10251,1697,16.554482489513216,60.3648424543947,0.9422510312315852,0.4635258358662614,0.25840336134453784,0.5364741641337386,0.8371502117160915,Logistic Regression,1,<$10k,baseline
10940,2471,22.586837294332724,70.0,0.9465803318494537,0.37194473963868224,0.3054322277357012,0.6280552603613178,0.8057602562137851,Logistic Regression,2,$10–15k,baseline
14207,2573,18.110790455409305,60.70950939677624,0.9117761368052857,0.4602888086642599,0.272,0.5397111913357401,0.8086928893099892,Logistic Regression,3,$15–20k,baseline
20226,2992,14.792840897854248,54.088796598437646,0.9017379679144385,0.521759312985958,0.246617915904936,0.478240687014042,0.8142990607734121,Logistic Regression,4,$20–25k,baseline
42093,5023,11.933100515525148,44.64400256574728,0.852876766872387,0.6086323172376585,0.22796934865900384,0.3913676827623415,0.8181797961908267,Logistic Regression,5,$25–35k,baseline
46641,4186,8.974936214918205,35.60386784159859,0.7928810320114668,0.6870333294076081,0.19986751776466338,0.31296667059239197,0.8160523947590047,Logistic Regression,6,$35–50k,baseline
58971,4002,6.7863865289718674,25.780468365806925,0.7091454272863568,0.7750550310174826,0.18667368282575808,0.22494496898251742,0.8191564567186108,Logistic Regression,7,$50–75k,baseline
48319,2341,4.84488503487241,18.19574080589416,0.6253737718923537,0.8406194266823264,0.1665150136487716,0.15938057331767366,0.8208179546672851,Logistic Regression,8,$75–100k,baseline
50241,1738,3.459326048446488,11.066658705041698,0.5189873417721519,0.9039647032142342,0.16223021582733813,0.09603529678576583,0.8209610585581326,Logistic Regression,9,$100–150k,baseline
22517,547,2.429275658391438,7.327796775769419,0.42778793418647165,0.9355484751934456,0.14181818181818182,0.06445152480655439,0.7983632741672831,Logistic Regression,10,$150–200k,baseline
23447,454,1.9362818270994158,4.512304345971766,0.3700440528634361,0.9612925673030922,0.15879017013232513,0.038707432696907754,0.8334249305141902,Logistic Regression,11,>$200k,baseline
10251,1697,16.554482489513216,51.10720905277534,0.9169121979964644,0.5694411971007716,0.29700324489406377,0.43055880289922843,0.8531284285117708,Random Forest,1,<$10k,baseline
10940,2471,22.586837294332724,64.89031078610603,0.9413193039255362,0.43641516117605383,0.3276517819411185,0.5635848388239462,0.8257766953431561,Random Forest,2,$10–15k,baseline
14207,2573,18.110790455409305,55.838671077637784,0.9144966964632725,0.520371325425477,0.2966091012227405,0.47962867457452296,0.8211299004933541,Random Forest,3,$15–20k,baseline
20226,2992,14.792840897854248,50.227430040541876,0.8993983957219251,0.5666705349889752,0.264888276405158,0.4333294650110247,0.8308335399369111,Random Forest,4,$20–25k,baseline
42093,5023,11.933100515525148,42.819471170978545,0.8592474616762891,0.6302131103318047,0.23945849977807368,0.3697868896681953,0.8290400145304084,Random Forest,5,$25–35k,baseline
46641,4186,8.974936214918205,35.8611522051414,0.8146201624462494,0.6863502532092804,0.20387420782016022,0.3136497467907196,0.8257628197203605,Random Forest,6,$35–50k,baseline
58971,4002,6.7863865289718674,27.998507741093082,0.7538730634682659,0.7545161818479507,0.1827266670704379,0.24548381815204934,0.8273156418752547,Random Forest,7,$50–75k,baseline
48319,2341,4.84488503487241,18.46892526749312,0.653139683895771,0.8391622080125277,0.171335723890632,0.16083779198747228,0.8271713544852506,Random Forest,8,$75–100k,baseline
50241,1738,3.459326048446488,11.48265360960172,0.5391254315304949,0.9003772962497165,0.1624198301265384,0.09962270375028348,0.8291873894267796,Random Forest,9,$100–150k,baseline
22517,547,2.429275658391438,7.48323488919483,0.42778793418647165,0.9339553937187073,0.13887240356083086,0.06604460628129268,0.8066267446301629,Random Forest,10,$150–200k,baseline
23447,454,1.9362818270994158,5.19469441719623,0.41409691629955947,0.9552037576653765,0.15435139573070608,0.04479624233462358,0.8375457019958765,Random Forest,11,>$200k,baseline
10251,1697,16.554482489513216,47.585601404741,0.901591043017089,0.6086041617956511,0.31365313653136534,0.39139583820434887,0.8502498736234114,XGBoost,1,<$10k,baseline
10940,2471,22.586837294332724,63.76599634369286,0.9372723593686767,0.44975794072499703,0.3319954128440367,0.5502420592750029,0.8284631182097263,XGBoost,2,$10–15k,baseline
14207,2573,18.110790455409305,56.40177377349194,0.9156626506024096,0.5137527935361871,0.29402221390240857,0.486247206463813,0.8260889805207289,XGBoost,3,$15–20k,baseline
20226,2992,14.792840897854248,49.31276574705824,0.8973930481283422,0.5770569803876059,0.2691999197914578,0.4229430196123941,0.8336133697441757,XGBoost,4,$20–25k,baseline
42093,5023,11.933100515525148,42.332454327322836,0.8560621142743381,0.6353115727002967,0.24131544980077446,0.36468842729970324,0.8304531526169264,XGBoost,5,$25–35k,baseline
46641,4186,8.974936214918205,34.78270191462447,0.8076923076923077,0.6975150158991874,0.2084078160636134,0.30248498410081265,0.8279954385810714,XGBoost,6,$35–50k,baseline
58971,4002,6.7863865289718674,28.081599430228415,0.7518740629685158,0.7534792337499318,0.18170289855072463,0.24652076625006822,0.8289216308907891,XGBoost,7,$50–75k,baseline
