n,n_copd,actual_prev,pred_prev,sensitivity,specificity,ppv,fpr,auc,model,band,inc_vals
55624,9733,17.497842657845535,60.35704012656408,0.9258193773759376,0.4647752282582642,0.2684002025437107,0.5352247717417359,0.8176843937932404,Logistic Regression,"Low
(<$25k)","[1, 2, 3, 4]"
55624,9733,17.497842657845535,54.56098087156624,0.9163669988698243,0.5330239044692859,0.29388118224653204,0.46697609553071406,0.8341476515151266,Random Forest,"Low
(<$25k)","[1, 2, 3, 4]"
55624,9733,17.497842657845535,52.81892708183518,0.9114353231275044,0.5530931991022204,0.30194009530292715,0.4469068008977795,0.8380339089782706,XGBoost,"Low
(<$25k)","[1, 2, 3, 4]"
88734,9209,10.378209029233439,40.72058061171592,0.8320121620154197,0.6419867966048413,0.21204992665984004,0.35801320339515874,0.819575291437661,Logistic Regression,"Mid-low
($25–50k)","[5, 6]"
88734,9209,10.378209029233439,38.467780106836166,0.832880877402541,0.6672241433511474,0.22470264252651315,0.33277585664885256,0.829868948849261,Random Forest,"Mid-low
($25–50k)","[5, 6]"
88734,9209,10.378209029233439,37.26080194739333,0.828211532196764,0.6801508959446715,0.2306808214620573,0.3198491040553285,0.8328856299393295,XGBoost,"Mid-low
($25–50k)","[5, 6]"
157531,8081,5.12978397902635,19.122585395890333,0.6504145526543744,0.8336032117765139,0.17447882087372196,0.1663967882234861,0.8266197974845606,Logistic Regression,"Mid-high
($50–150k)","[7, 8, 9]"
157531,8081,5.12978397902635,18.24148897677283,0.6521470115084766,0.8429842756774841,0.1833936525612472,0.1570157243225159,0.8330700287888906,Random Forest,"Mid-high
($50–150k)","[7, 8, 9]"
157531,8081,5.12978397902635,18.03708476426862,0.6478158643732211,0.844904650384744,0.1842401632997818,0.15509534961525595,0.833485776271027,XGBoost,"Mid-high
($50–150k)","[7, 8, 9]"
45964,1001,2.177791314942129,5.791488991384562,0.40559440559440557,0.9498254120054267,0.15251690458302028,0.05017458799457332,0.8144517226873831,Logistic Regression,"High
(>$150k)","[10, 11]"
45964,1001,2.177791314942129,4.618832129492646,0.36163836163836166,0.9608344638925339,0.17051342439943476,0.03916553610746614,0.8181988596106871,Random Forest,"High
(>$150k)","[10, 11]"
45964,1001,2.177791314942129,4.544861195718388,0.32667332667332666,0.960812223383671,0.1565342269028243,0.03918777661632898,0.8065538647016751,XGBoost,"High
(>$150k)","[10, 11]"
