feature,importance,model
_SMOKER3,0.3321644666696042,Decision Tree
ASTHMA3,0.20877251900286733,Decision Tree
EMPLOY1,0.1253025139469005,Decision Tree
_AGEG5YR,0.08624423349772828,Decision Tree
HAVARTH3,0.0724295264567785,Decision Tree
INCOME3,0.040380955471487165,Decision Tree
EXERANY2,0.026455422341842068,Decision Tree
EDUCA,0.01993482617744233,Decision Tree
CVDCRHD4,0.019926239093609077,Decision Tree
_IMPRACE,0.010693549696990143,Decision Tree
PERSDOC3,0.008877563404433901,Decision Tree
MARITAL,0.008324649612889272,Decision Tree
DRNKANY6,0.007021791319327501,Decision Tree
_BMI5CAT,0.006105017103038451,Decision Tree
MEDCOST1,0.00576499268373885,Decision Tree
CHECKUP1,0.005027696644458688,Decision Tree
DIABETES,0.003668519018468877,Decision Tree
SEXVAR,0.0036595441070846686,Decision Tree
CVDINFR4,0.0032280402136895046,Decision Tree
CVDSTRK3,0.003060165776843947,Decision Tree
CHCKDNY2,0.0011588566758984154,Decision Tree
_URBSTAT,0.000852426143696845,Decision Tree
HLTHPLN2,0.0005421179196570939,Decision Tree
PREDIABETES,0.0004043670215244146,Decision Tree
