feature,importance
ASTHMA3,0.22422753
_SMOKER3,0.18962917
HAVARTH3,0.11183897
EMPLOY1,0.06353842
EXERANY2,0.051050983
INCOME3_x_ASTHMA3,0.044463318
CVDCRHD4,0.04277581
CVDSTRK3,0.023947118
MEDCOST1,0.021718517
_AGEG5YR,0.019437686
CVDINFR4,0.019312795
INCOME3_x_EXERANY2,0.018173331
EDUCA,0.016651308
INCOME3_x__SMOKER3,0.016139325
DRNKANY6,0.012210276
CHCKDNY2,0.010039578
DIABETES,0.009835882
PERSDOC3,0.009303798
INCOME3_x_EDUCA,0.008642191
_IMPRACE,0.008194419
INCOME3_x_DRNKANY6,0.007991514
INCOME3_x_CVDCRHD4,0.007365972
_BMI5CAT,0.006756821
PREDIABETES,0.006348395
INCOME3,0.006290172
MARITAL,0.0062008845
CHECKUP1,0.005643766
SEXVAR,0.004880331
INCOME3_x_DIABETES,0.004812207
INCOME3_x__URBSTAT,0.004753473
INCOME3_x_MEDCOST1,0.0046361936
INCOME3_x_CVDSTRK3,0.00456078
HLTHPLN2,0.004421132
_URBSTAT,0.004207995
