feature,importance,model
ASTHMA3,1.5710178106093429,Logistic Regression
CVDCRHD4,0.5827690232029172,Logistic Regression
_SMOKER3,0.5734013996311604,Logistic Regression
HAVARTH3,0.5531511727027645,Logistic Regression
MEDCOST1,0.5472652941570951,Logistic Regression
_AGEG5YR,0.46285236171417693,Logistic Regression
EXERANY2,0.41214663166677307,Logistic Regression
CVDINFR4,0.35451833454960957,Logistic Regression
CVDSTRK3,0.35086651528157925,Logistic Regression
CHCKDNY2,0.34322590020913046,Logistic Regression
PREDIABETES,0.31640433426887743,Logistic Regression
HLTHPLN2,0.27144489143470957,Logistic Regression
INCOME3,0.21217374604269162,Logistic Regression
EMPLOY1,0.20637133312405365,Logistic Regression
EDUCA,0.18866865443795086,Logistic Regression
DIABETES,0.12979780314853956,Logistic Regression
CHECKUP1,0.12288627117159813,Logistic Regression
_IMPRACE,0.11426109495798925,Logistic Regression
PERSDOC3,0.05494552382608094,Logistic Regression
MARITAL,0.031698226554228846,Logistic Regression
DRNKANY6,0.030086360030505865,Logistic Regression
_BMI5CAT,0.029941668794384917,Logistic Regression
SEXVAR,0.01813456356995072,Logistic Regression
_URBSTAT,0.000700850076071962,Logistic Regression
