feature,importance,model
_SMOKER3,0.21017684365911454,Random Forest
ASTHMA3,0.15057241745526728,Random Forest
EMPLOY1,0.13161130161099718,Random Forest
HAVARTH3,0.11208360466558458,Random Forest
_AGEG5YR,0.09604205105294887,Random Forest
INCOME3,0.05483777850854554,Random Forest
EXERANY2,0.0433048396258814,Random Forest
EDUCA,0.04184232126720263,Random Forest
CVDCRHD4,0.02722328945555109,Random Forest
MARITAL,0.019155888453238682,Random Forest
CVDINFR4,0.0166224711910022,Random Forest
_BMI5CAT,0.012021571183808491,Random Forest
_IMPRACE,0.011996503471524934,Random Forest
PERSDOC3,0.011628164931276648,Random Forest
DRNKANY6,0.010541880886082744,Random Forest
DIABETES,0.010250580575388885,Random Forest
CVDSTRK3,0.00920372032310004,Random Forest
CHECKUP1,0.007271283776117081,Random Forest
MEDCOST1,0.007093682263585975,Random Forest
SEXVAR,0.0069736292900587265,Random Forest
CHCKDNY2,0.005381353707188957,Random Forest
_URBSTAT,0.00234972213294847,Random Forest
HLTHPLN2,0.0010882190468124672,Random Forest
PREDIABETES,0.0007268814667726468,Random Forest
