feature,importance,importance_norm
_SMOKER3,0.4034631475306765,0.4034631475306765
EMPLOY1,0.24554219412909845,0.24554219412909845
_AGEG5YR,0.08959770723383917,0.08959770723383917
EXERANY2,0.05292718444728724,0.05292718444728724
INCOME3,0.048831158305655056,0.048831158305655056
EDUCA,0.03131984538792993,0.03131984538792993
PERSDOC3,0.02170376117868222,0.02170376117868222
MEDCOST1,0.01960553361173362,0.01960553361173362
_BMI5CAT,0.017382099902869094,0.017382099902869094
_IMPRACE,0.01698036832965481,0.01698036832965481
MARITAL,0.01477025399541299,0.01477025399541299
CHECKUP1,0.012371684810863757,0.012371684810863757
DRNKANY6,0.010975627906708824,0.010975627906708824
SEXVAR,0.009919288290282605,0.009919288290282605
_URBSTAT,0.002881535021285025,0.002881535021285025
HLTHPLN2,0.0017286099180207272,0.0017286099180207272
