feature,importance,importance_norm
MEDCOST1,0.7552876809290419,0.17954217125686264
_SMOKER3,0.5628087053901908,0.1337872965751603
_AGEG5YR,0.49897428144621503,0.11861298436906834
EXERANY2,0.49022754935677676,0.11653376699217673
HLTHPLN2,0.4657161957361067,0.11070708431136479
EMPLOY1,0.29440740870861903,0.06998465184634464
INCOME3,0.25571756199874274,0.0607875482005631
CHECKUP1,0.18357962165941852,0.04363937702611879
EDUCA,0.17738939282442387,0.04216787530078323
_BMI5CAT,0.14260393563466475,0.03389889823454832
_IMPRACE,0.09750050716038196,0.02317719882930921
PERSDOC3,0.09424838539050827,0.022404125180025516
DRNKANY6,0.09222888352879968,0.02192406207524611
SEXVAR,0.06852350837801065,0.016288971456800028
MARITAL,0.02715647040978367,0.006455462976766558
_URBSTAT,0.000372403430808976,8.852536886170921e-05
