feature,importance,importance_norm
_SMOKER3,0.34692192,0.34692192
EMPLOY1,0.17853695,0.17853695
EXERANY2,0.09970819,0.09970819
_AGEG5YR,0.06008819,0.06008819
MEDCOST1,0.056390967,0.056390967
INCOME3,0.037845626,0.037845626
EDUCA,0.036391977,0.036391977
PERSDOC3,0.035121094,0.035121094
_BMI5CAT,0.023830337,0.023830337
DRNKANY6,0.023817342,0.023817342
_IMPRACE,0.021011356,0.021011356
SEXVAR,0.020598274,0.020598274
MARITAL,0.019431923,0.019431923
CHECKUP1,0.016596023,0.016596023
HLTHPLN2,0.01287545,0.01287545
_URBSTAT,0.010834421,0.010834421
