feature,importance,model
ASTHMA3,0.27608255,XGBoost
_SMOKER3,0.202162,XGBoost
HAVARTH3,0.13378872,XGBoost
EMPLOY1,0.06865883,XGBoost
CVDCRHD4,0.042682074,XGBoost
EXERANY2,0.038458917,XGBoost
_AGEG5YR,0.031923715,XGBoost
CVDINFR4,0.024215901,XGBoost
EDUCA,0.020522032,XGBoost
MEDCOST1,0.020017043,XGBoost
INCOME3,0.016818365,XGBoost
CVDSTRK3,0.015927307,XGBoost
CHCKDNY2,0.013763469,XGBoost
DRNKANY6,0.011370921,XGBoost
PERSDOC3,0.010900569,XGBoost
_IMPRACE,0.010680361,XGBoost
DIABETES,0.010313916,XGBoost
_BMI5CAT,0.009209622,XGBoost
MARITAL,0.008725645,XGBoost
PREDIABETES,0.008402595,XGBoost
CHECKUP1,0.0074393745,XGBoost
SEXVAR,0.0065115527,XGBoost
_URBSTAT,0.0057268008,XGBoost
HLTHPLN2,0.0056977514,XGBoost
