Variable,Category,No COPD,COPD,Overall
"Income (mean level, 1–11)",—,6.93,5.38,6.82
"Education (mean level, 1–6)",—,4.78,4.36,4.75
"Age group (mean band, 1–13)",—,6.10,8.60,6.27
Sex,Male,49.1%,42.4%,48.7%
Sex,Female,50.9%,57.6%,51.3%
Urban/Rural,Urban,94.0%,90.8%,93.8%
Urban/Rural,Rural,6.0%,9.2%,6.2%
Any exercise (past 30d),Yes,77.5%,56.8%,76.1%
Any exercise (past 30d),No,22.5%,43.2%,23.9%
Any alcohol (past 30d),Yes,53.6%,39.3%,52.6%
Any alcohol (past 30d),No,46.4%,60.7%,47.4%
Asthma,Yes,13.2%,41.9%,15.2%
Asthma,No,86.8%,58.1%,84.8%
Heart attack,Yes,3.6%,16.0%,4.4%
Heart attack,No,96.4%,84.0%,95.6%
Coronary heart disease,Yes,3.5%,18.0%,4.4%
Coronary heart disease,No,96.5%,82.0%,95.6%
Stroke,Yes,2.9%,12.0%,3.6%
Stroke,No,97.1%,88.0%,96.4%
Arthritis,Yes,24.1%,60.3%,26.6%
Arthritis,No,75.9%,39.7%,73.4%
Kidney disease,Yes,3.1%,11.3%,3.7%
Kidney disease,No,96.9%,88.7%,96.3%
Health insurance,Yes,91.3%,94.9%,91.5%
Health insurance,No,8.7%,5.1%,8.5%
Cost barrier to care,Yes,10.6%,17.0%,11.1%
Cost barrier to care,No,89.4%,83.0%,88.9%
Diabetes,Yes,11.0%,25.9%,12.1%
Diabetes,No,89.0%,74.1%,87.9%
Pre-diabetes,Yes,2.2%,3.8%,2.3%
Pre-diabetes,No,97.8%,96.2%,97.7%
Smoking status,Current daily,7.7%,25.7%,8.9%
Smoking status,Current some days,3.6%,7.4%,3.9%
Smoking status,Former,23.0%,39.2%,24.2%
Smoking status,Never,65.7%,27.7%,63.1%
BMI category,Underweight,1.9%,3.1%,2.0%
BMI category,Normal,30.8%,25.9%,30.5%
BMI category,Overweight,34.6%,28.4%,34.2%
BMI category,Obese,32.6%,42.6%,33.3%
Has personal doctor,"Yes, one",53.3%,48.4%,53.0%
Has personal doctor,"Yes, >1",28.1%,42.7%,29.1%
Has personal doctor,No,18.5%,8.9%,17.9%
Last routine checkup,<1 yr,75.4%,86.4%,76.2%
Last routine checkup,1–2 yr,11.3%,6.3%,10.9%
Last routine checkup,2–5 yr,7.1%,3.7%,6.9%
Last routine checkup,>5 yr,5.3%,3.3%,5.2%
Last routine checkup,Never,0.9%,0.3%,0.8%
